# sha256 10b505f91906ce3b69e5ea463b7dc1d910eed1a8bc2952290bc37ac707e94b2f
user_field_name,legacy_value,legacy_text,value,url,disposition
Machine,6391,REFURB AirCurve 11 BiPAP ASV,AirCurve 11 BiPAP ASV (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Machine,6408,AirCurve™ 11 ST-A Co-Pack,AirCurve™ 11 ST-A Co-Pack (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Mask,687,Nasal Aire II Petite Prong CPAP Mask with Headgear,Nasal Aire II Petite CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-prong-cpap-masks,collection
Mask,791,FlexiFit HC405 Nasal CPAP Mask with Headgear,FlexiFit HC405 Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,1282,FlexiFit HC407 Nasal CPAP Mask with Headgear,FlexiFit HC407 Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,1410,FlexiFit HC431 Full Face CPAP Mask with Headgear,FlexiFit HC431 Full Face CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,1551,Oracle HC452 Oral CPAP Mask,Oracle HC452 Oral CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,1807,Ultra Mirage Full Face CPAP Mask with Headgear,Ultra Mirage Full Face CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,2020,FlexiFit HC406 Petite Nasal CPAP Mask with Headgear,FlexiFit HC406 Petite Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,2353,FlexiFit HC432 Full Face CPAP Mask with Headgear,FlexiFit HC432 Full Face CPAP Mask (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,2511,Mirage Quattro Full Face CPAP Mask with Headgear,Mirage Quattro Full Face CPAP Mask,https://www.cpap.com/products/resmed-mirage-quattro-full-face-cpap-mask,resolves-to-product
Mask,2645,Opus 360 Nasal Pillow CPAP Mask with Headgear,Fisher & Paykel Opus 360 Nasal Pillow Mask,https://www.cpap.com/products/fisher-paykel-opus-360-nasal-pillow-cpap-mask,resolves-to-product
Mask,2682,Hans Rudolph 7600 Series V2 Full Face CPAP Mask with Headgear,Hans Rudolph 7600 Series V2 Full Face CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,2875,Zest Nasal CPAP Mask with Headgear,Fisher & Paykel Zest Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,2876,Forma Full Face CPAP Mask with Headgear,Fisher & Paykel Forma Full Face CPAP Mask (Discontinued),https://www.cpap.com/collections/full-face-cpap-masks,collection
Mask,2919,Mirage Activa LT Nasal CPAP Mask with Headgear,Mirage Activa LT Nasal CPAP Mask,https://www.cpap.com/products/resmed-mirage-activa-lt-nasal-cpap-mask,resolves-to-product
Mask,2987,FitLife Total Face CPAP Mask with Headgear,FitLife Total Face CPAP Mask,https://www.cpap.com/products/respironics-fitlife-total-full-face-cpap-mask-headgear,resolves-to-product
Mask,3132,Swift FX Nasal Pillow CPAP Mask with Headgear,Swift FX Nasal Pillow CPAP Mask,https://www.cpap.com/products/resmed-swift-fx-nasal-pillow-cpap-mask-with-headgear,resolves-to-product
Mask,3219,ComfortGel Blue Nasal CPAP Mask with Headgear,ComfortGel Blue Nasal CPAP Mask,https://www.cpap.com/products/comfortgel-blue-nasal-cpap-mask,resolves-to-product
Mask,3346,Swift FX For Her Nasal Pillow CPAP Mask with Headgear,Swift FX Nasal Pillow CPAP Mask,https://www.cpap.com/products/resmed-swift-fx-nasal-pillow-cpap-mask-with-headgear,resolves-to-product
Mask,3397,Quattro™ FX Full Face CPAP Mask with Headgear,Quattro FX Full Face CPAP Mask,https://www.cpap.com/products/resmed-quattro-fx-full-face-cpap-mask,resolves-to-product
Mask,3470,Sylent Nasal CPAP Mask with Headgear - Fit Pack,Sylent Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,3491,Mirage FX Nasal CPAP Mask with Headgear,Mirage FX Nasal CPAP Mask,https://www.cpap.com/products/resmed-mirage-fx-nasal-cpap-mask,resolves-to-product
Mask,3497,Mirage FX For Her Nasal CPAP Mask with Headgear,Mirage FX Nasal CPAP Mask,https://www.cpap.com/products/resmed-mirage-fx-nasal-cpap-mask,resolves-to-product
Mask,3624,Pixi  Pediatric CPAP Mask with Headgear,Pixi Pediatric CPAP Mask,https://www.cpap.com/products/pixi-pediatric-cpap-mask,resolves-to-product
Mask,3644,ComfortGel Blue Nasal CPAP Mask WITHOUT Headgear,ComfortGel Blue Nasal CPAP Mask,https://www.cpap.com/products/comfortgel-blue-nasal-cpap-mask,resolves-to-product
Mask,3734,Quattro FX For Her Full Face Mask with Headgear,Quattro FX Full Face CPAP Mask,https://www.cpap.com/products/resmed-quattro-fx-full-face-cpap-mask,resolves-to-product
Mask,3905,Swift FX Bella Nasal Pillow CPAP Mask with Headgears,Swift FX Bella Nasal Pillow CPAP Mask,https://www.cpap.com/products/resmed-swift-fx-bella-nasal-pillow-cpap-mask,resolves-to-product
Mask,3919,Zest Q Nasal CPAP Mask with Headgear,Fisher & Paykel Zest Q Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,3932,SleepWeaver Advance Nasal CPAP Mask with Improved Zzzephyr Seal,SleepWeaver Advance Nasal CPAP Mask with Improved Zzzephyr Seal (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
Mask,4049,SleepWeaver Elan Soft Cloth Nasal CPAP Mask - Starter Kit,SleepWeaver Elan Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
Mask,4230,Eson™ Nasal CPAP Mask with Headgear,Eson Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4235,Wisp Nasal CPAP Mask with Headgear - Fit Pack,Wisp Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4366,Wisp Nasal CPAP Mask WITHOUT Headgear,Wisp Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4377,Simplus Full Face CPAP Mask with Headgear,Simplus Full Face CPAP Mask,https://www.cpap.com/products/fisher-paykel-simplus-full-face-cpap-mask,resolves-to-product
Mask,4397,Quattro Air Full Face Mask with Headgear,Quattro Air Full Face Mask,https://www.cpap.com/products/resmed-quattro-air-full-face-mask,resolves-to-product
Mask,4407,Swift FX Nano Nasal CPAP Mask with Headgear,Swift FX Nano Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
Mask,4412,TAP PAP Nasal Pillow CPAP Mask with Improved Stability Mouthpiece,TAP PAP Nasal Pillow CPAP Mask,https://www.cpap.com/products/tap-pap-nasal-pillow-cpap-mask-with-improved-stability-mouthpiece,resolves-to-product
Mask,4430,Quattro Air For Her Full Face Mask with Headgear,Quattro Air Full Face Mask,https://www.cpap.com/products/resmed-quattro-air-full-face-mask,resolves-to-product
Mask,4446,SleepWeaver Anew Full Face Mask with Headgear,SleepWeaver Anew Full Face Mask with Headgear (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
Mask,4471,Single Size SleepWeaver Elan Soft Cloth Nasal CPAP Mask,SleepWeaver Elan Nasal CPAP Mask (Discontinued),https://www.cpap.com/collections/cpap-masks,collection
Mask,4482,Swift FX Nano For Her Nasal CPAP Mask with Headgear,Swift FX Nano For Her Nasal CPAP Mask with Headgear (Discontinued),https://www.cpap.com/collections/nasal-cpap-masks,collection
